respondent_id,survey_date,city,age_group,gender,income_bracket,awareness_channel,product_interest,funnel_stage,purchase_motivator,purchase_barrier,monthly_spend_inr,nps_score,nps_category,top_satisfaction_driver,survey_completion_min
VE0001,2024-11-11,Delhi,35-44,Male,3-6L,Instagram,Ashwagandha,Consideration,,Too Expensive,0,,,,7.5
VE0002,2024-10-08,Hyderabad,35-44,Female,10-20L,YouTube,Omega-3,Consideration,,Lack of Trust,0,,,,13.9
VE0003,2024-08-27,Mumbai,25-34,Female,<3L,YouTube,Multivitamin,Repeat Purchase,Discount/Offer,None,0,8,Passive,Delivery Speed,12.9
VE0004,2024-09-01,Hyderabad,35-44,Male,3-6L,YouTube,Whey Protein,Repeat Purchase,Doctor Recommended,None,500,9,Promoter,Delivery Speed,13.7
VE0005,2024-06-19,Hyderabad,18-24,Female,3-6L,YouTube,Vitamin D3,Intent,Peer Recommendation,Lack of Trust,0,,,,15.6
VE0006,2024-08-20,Bangalore,18-24,Female,6-10L,Word of Mouth,Whey Protein,Consideration,,Too Many Options,0,,,,8.1
VE0007,2024-08-03,Pune,35-44,Female,6-10L,Google Search,Multivitamin,Awareness,,Too Expensive,0,,,,5.7
VE0008,2024-06-13,Ahmedabad,18-24,Male,10-20L,Google Search,Multivitamin,Purchase,Ingredients Quality,None,1000,9,Promoter,Customer Support,8.1
VE0009,2024-11-12,Mumbai,25-34,Male,<3L,Word of Mouth,Ashwagandha,Awareness,,Lack of Trust,0,,,,16.3
VE0010,2024-08-16,Kolkata,25-34,Male,6-10L,Instagram,Vitamin D3,Awareness,,Shipping Concerns,0,,,,11.1
VE0011,2024-06-29,Jaipur,45-54,Female,3-6L,Instagram,Probiotic,Awareness,,Too Expensive,0,,,,15.5
VE0012,2024-10-15,Pune,18-24,Male,6-10L,Instagram,Probiotic,Intent,Peer Recommendation,Too Expensive,0,,,,9.9
VE0013,2024-11-19,Chennai,25-34,Male,3-6L,Instagram,Multivitamin,Purchase,Brand Trust,None,300,10,Promoter,Product Efficacy,7.7
VE0014,2024-11-19,Bangalore,35-44,Female,10-20L,Google Search,Multivitamin,Repeat Purchase,Doctor Recommended,None,1000,9,Promoter,Taste/Texture,5.8
VE0015,2024-09-12,Pune,45-54,Male,3-6L,Google Search,Whey Protein,Intent,Price,Lack of Trust,0,,,,5.2
VE0016,2024-10-17,Kolkata,55+,Female,10-20L,Instagram,Omega-3,Purchase,Brand Trust,None,4000,7,Passive,Delivery Speed,14.4
VE0017,2024-10-21,Chennai,25-34,Male,3-6L,Instagram,Ashwagandha,Purchase,Influencer,None,300,10,Promoter,Product Efficacy,7.0
VE0018,2024-10-31,Delhi,45-54,Male,20L+,Google Search,Ashwagandha,Intent,Influencer,Unsure of Efficacy,0,,,,7.3
VE0019,2024-08-20,Mumbai,25-34,Female,3-6L,YouTube,Collagen,Intent,Discount/Offer,Too Expensive,0,,,,11.3
